ID,Back,Audio,Image
0,E,[sound:1string-01.mp3],"<img src=""1-00E.png"">"
1,F,[sound:1string-02.mp3],"<img src=""1-01F.png"">"
2,F#,[sound:1string-03.mp3],"<img src=""1-02F#.png"">"
3,G,[sound:1string-04.mp3],"<img src=""1-03G.png"">"
4,G#,[sound:1string-05.mp3],"<img src=""1-04G#.png"">"
5,A,[sound:1string-06.mp3],"<img src=""1-05A.png"">"
6,A#,[sound:1string-07.mp3],"<img src=""1-06A#.png"">"
7,B,[sound:1string-08.mp3],"<img src=""1-07B.png"">"
8,C,[sound:1string-09.mp3],"<img src=""1-08C.png"">"
9,C#,[sound:1string-10.mp3],"<img src=""1-09C#.png"">"
10,D,[sound:1string-11.mp3],"<img src=""1-10D.png"">"
11,D#,[sound:1string-12.mp3],"<img src=""1-11D#.png"">"
12,B,[sound:2string-01.mp3],"<img src=""2-00B.png"">"
13,C,[sound:2string-02.mp3],"<img src=""2-01C.png"">"
14,C#,[sound:2string-03.mp3],"<img src=""2-02C#.png"">"
15,D,[sound:2string-04.mp3],"<img src=""2-03D.png"">"
16,D#,[sound:2string-05.mp3],"<img src=""2-04D#.png"">"
17,E,[sound:2string-06.mp3],"<img src=""2-05E.png"">"
18,F,[sound:2string-07.mp3],"<img src=""2-06F.png"">"
19,F#,[sound:2string-08.mp3],"<img src=""2-07F#.png"">"
20,G,[sound:2string-09.mp3],"<img src=""2-08G.png"">"
21,G#,[sound:2string-10.mp3],"<img src=""2-09G#.png"">"
22,A,[sound:2string-11.mp3],"<img src=""2-10A.png"">"
23,A#,[sound:2string-12.mp3],"<img src=""2-11A#.png"">"
24,G,[sound:3string-01.mp3],"<img src=""3-00G.png"">"
25,G#,[sound:3string-02.mp3],"<img src=""3-01G#.png"">"
26,A,[sound:3string-03.mp3],"<img src=""3-02A.png"">"
27,A#,[sound:3string-04.mp3],"<img src=""3-03A#.png"">"
28,B,[sound:3string-05.mp3],"<img src=""3-04B.png"">"
29,C,[sound:3string-06.mp3],"<img src=""3-05C.png"">"
30,C#,[sound:3string-07.mp3],"<img src=""3-06C#.png"">"
31,D,[sound:3string-08.mp3],"<img src=""3-07D.png"">"
32,D#,[sound:3string-09.mp3],"<img src=""3-08D#.png"">"
33,E,[sound:3string-10.mp3],"<img src=""3-09E.png"">"
34,F,[sound:3string-11.mp3],"<img src=""3-10F.png"">"
35,F#,[sound:3string-12.mp3],"<img src=""3-11F#.png"">"
36,D,[sound:4string-01.mp3],"<img src=""4-00D.png"">"
37,D#,[sound:4string-02.mp3],"<img src=""4-01D#.png"">"
38,E,[sound:4string-03.mp3],"<img src=""4-02E.png"">"
39,F,[sound:4string-04.mp3],"<img src=""4-03F.png"">"
40,F#,[sound:4string-05.mp3],"<img src=""4-04F#.png"">"
41,G,[sound:4string-06.mp3],"<img src=""4-05G.png"">"
42,G#,[sound:4string-07.mp3],"<img src=""4-06G#.png"">"
43,A,[sound:4string-08.mp3],"<img src=""4-07A.png"">"
44,A#,[sound:4string-09.mp3],"<img src=""4-08A#.png"">"
45,B,[sound:4string-10.mp3],"<img src=""4-09B.png"">"
46,C,[sound:4string-11.mp3],"<img src=""4-10C.png"">"
47,C#,[sound:4string-12.mp3],"<img src=""4-11C#.png"">"
48,A,[sound:5string-01.mp3],"<img src=""5-00A.png"">"
49,A#,[sound:5string-02.mp3],"<img src=""5-01A#.png"">"
50,B,[sound:5string-03.mp3],"<img src=""5-02B.png"">"
51,C,[sound:5string-04.mp3],"<img src=""5-03C.png"">"
52,C#,[sound:5string-05.mp3],"<img src=""5-04C#.png"">"
53,D,[sound:5string-06.mp3],"<img src=""5-05D.png"">"
54,D#,[sound:5string-07.mp3],"<img src=""5-06D#.png"">"
55,E,[sound:5string-08.mp3],"<img src=""5-07E.png"">"
56,F,[sound:5string-09.mp3],"<img src=""5-08F.png"">"
57,F#,[sound:5string-10.mp3],"<img src=""5-09F#.png"">"
58,G,[sound:5string-11.mp3],"<img src=""5-10G.png"">"
59,G#,[sound:5string-12.mp3],"<img src=""5-11G#.png"">"
60,E,[sound:6string-01.mp3],"<img src=""6-00E.png"">"
61,F,[sound:6string-02.mp3],"<img src=""6-01F.png"">"
62,F#,[sound:6string-03.mp3],"<img src=""6-02F#.png"">"
63,G,[sound:6string-04.mp3],"<img src=""6-03G.png"">"
64,G#,[sound:6string-05.mp3],"<img src=""6-04G#.png"">"
65,A,[sound:6string-06.mp3],"<img src=""6-05A.png"">"
66,A#,[sound:6string-07.mp3],"<img src=""6-06A#.png"">"
67,B,[sound:6string-08.mp3],"<img src=""6-07B.png"">"
68,C,[sound:6string-09.mp3],"<img src=""6-08C.png"">"
69,C#,[sound:6string-10.mp3],"<img src=""6-09C#.png"">"
70,D,[sound:6string-11.mp3],"<img src=""6-10D.png"">"
71,D#,[sound:6string-12.mp3],"<img src=""6-11D#.png"">"
